Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol:   7 11NL        
No. of strips: 2
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    6:30Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V   10:20Hrs
10:50 -> 8000V at 26uA 21471Vhrs
10:50 -> 8000V at 26uA 21556Vhrs
10:55 -> 8000V at 26uA 22138Vhrs
10:55 -> 8000V at 26uA 22221Vhrs
11:00 -> 8000V at 26uA 22805Vhrs
11:00 -> 8000V at 26uA 22885Vhrs
11:05 -> 8000V at 26uA 23472Vhrs
11:05 -> 8000V at 26uA 23550Vhrs
11:10 -> 8000V at 26uA 24140Vhrs
11:10 -> 8000V at 26uA 24214Vhrs
11:15 -> 8000V at 26uA 24807Vhrs
11:15 -> 8000V at 26uA 24879Vhrs
11:20 -> 8000V at 26uA 25474Vhrs
11:20 -> 8000V at 27uA 25544Vhrs
11:25 -> 8000V at 28uA 26141Vhrs
11:25 -> 8000V at 28uA 26209Vhrs
11:30 -> 8000V at 28uA 26809Vhrs
11:30 -> 8000V at 28uA 26873Vhrs
11:35 -> 8000V at 28uA 27476Vhrs
11:35 -> 8000V at 28uA 27538Vhrs
11:40 -> 8000V at 28uA 28143Vhrs
11:40 -> 8000V at 28uA 28203Vhrs
11:45 -> 8000V at 28uA 28810Vhrs
11:45 -> 8000V at 28uA 28868Vhrs
11:50 -> 8000V at 28uA 29477Vhrs
11:50 -> 8000V at 28uA 29533Vhrs
11:55 -> 8000V at 28uA 30145Vhrs
11:55 -> 8000V at 28uA 30198Vhrs
12:00 -> 8000V at 28uA 30812Vhrs
12:00 -> 8000V at 28uA 30862Vhrs
12:05 -> 8000V at 28uA 31479Vhrs
12:05 -> 8000V at 28uA 31527Vhrs
12:10 -> 8000V at 28uA 32146Vhrs
12:10 -> 8000V at 28uA 32192Vhrs
12:15 -> 8000V at 28uA 32813Vhrs
12:15 -> 8000V at 28uA 32857Vhrs
12:20 -> 8000V at 28uA 33479Vhrs
12:20 -> 8000V at 28uA 33520Vhrs
12:25 -> 8000V at 28uA 34146Vhrs
12:25 -> 8000V at 28uA 34184Vhrs
12:30 -> 8000V at 28uA 34811Vhrs
12:30 -> 8000V at 28uA 34847Vhrs
12:35 -> 8000V at 28uA 35477Vhrs
12:35 -> 8000V at 28uA 35511Vhrs
12:40 -> 8000V at 28uA 36144Vhrs
12:40 -> 8000V at 28uA 36175Vhrs
12:45 -> 8000V at 28uA 36810Vhrs
12:45 -> 8000V at 27uA 36838Vhrs
12:50 -> 8000V at 27uA 37475Vhrs
12:50 -> 8000V at 27uA 37501Vhrs
12:55 -> 8000V at 27uA 38141Vhrs
12:55 -> 8000V at 27uA 38165Vhrs
13:00 -> 8000V at 27uA 38808Vhrs
13:00 -> 8000V at 27uA 38829Vhrs
13:05 -> 8000V at 26uA 39474Vhrs
13:05 -> 8000V at 27uA 39493Vhrs
13:10 -> 8000V at 26uA 40139Vhrs
13:10 -> 8000V at 26uA 40157Vhrs
13:15 -> 8000V at 26uA 40805Vhrs
13:15 -> 8000V at 26uA 40819Vhrs
13:20 -> 8000V at 25uA 41472Vhrs
13:20 -> 8000V at 25uA 41483Vhrs
13:25 -> 8000V at 25uA 42138Vhrs
13:25 -> 8000V at 25uA 42147Vhrs
13:30 -> 8000V at 24uA 42804Vhrs
13:30 -> 8000V at 24uA 42810Vhrs
13:35 -> 8000V at 24uA 43470Vhrs
13:35 -> 8000V at 24uA 43474Vhrs
13:40 -> 8000V at 24uA 44136Vhrs
13:40 -> 8000V at 24uA 44137Vhrs
13:45 -> 8000V at 24uA 44801Vhrs
13:45 -> 8000V at 24uA 44803Vhrs
13:50 -> 8000V at 24uA 45465Vhrs
13:50 -> 8000V at 24uA 45469Vhrs
13:55 -> 8000V at 24uA 46128Vhrs
13:55 -> 8000V at 24uA 46134Vhrs
14:00 -> 8000V at 23uA 46792Vhrs
14:00 -> 8000V at 23uA 46800Vhrs
14:04 -> 8000V at 24uA 47455Vhrs
14:05 -> 8000V at 24uA 47467Vhrs
14:09 -> 8000V at 24uA 48119Vhrs
14:10 -> 8000V at 24uA 48133Vhrs
14:14 -> 8000V at 24uA 48783Vhrs
14:15 -> 8000V at 24uA 48799Vhrs
14:19 -> 8000V at 23uA 49446Vhrs
14:20 -> 8000V at 23uA 49465Vhrs
14:24 -> 8000V at 24uA 50110Vhrs
14:25 -> 8000V at 24uA 50131Vhrs
14:29 -> 8000V at 23uA 50774Vhrs
14:30 -> 8000V at 23uA 50797Vhrs
14:34 -> 8000V at 23uA 51437Vhrs
14:35 -> 8000V at 23uA 51463Vhrs
14:39 -> 8000V at 23uA 52101Vhrs
14:40 -> 8000V at 23uA 52129Vhrs
14:44 -> 8000V at 23uA 52764Vhrs
14:45 -> 8000V at 23uA 52795Vhrs
14:49 -> 8000V at 23uA 53428Vhrs
14:50 -> 8000V at 23uA 53462Vhrs
14:54 -> 8000V at 23uA 54091Vhrs
14:55 -> 8000V at 23uA 54128Vhrs
14:59 -> 8000V at 23uA 54755Vhrs
15:00 -> 8000V at 23uA 54794Vhrs
15:04 -> 8000V at 23uA 55419Vhrs
15:05 -> 8000V at 23uA 55459Vhrs
15:09 -> 8000V at 23uA 56082Vhrs
15:10 -> 8000V at 23uA 56126Vhrs
15:14 -> 8000V at 23uA 56746Vhrs
15:15 -> 8000V at 23uA 56792Vhrs
15:19 -> 8000V at 23uA 57410Vhrs
15:20 -> 8000V at 23uA 57458Vhrs
15:24 -> 8000V at 23uA 58073Vhrs
15:25 -> 8000V at 23uA 58123Vhrs
15:29 -> 8000V at 23uA 58736Vhrs
15:30 -> 8000V at 23uA 58789Vhrs
15:34 -> 8000V at 23uA 59400Vhrs
15:35 -> 8000V at 23uA 59456Vhrs
15:39 -> 8000V at 23uA 60063Vhrs
15:40 -> 8000V at 23uA 60122Vhrs
15:44 -> 8000V at 23uA 60727Vhrs
15:45 -> 8000V at 23uA 60787Vhrs
15:49 -> 8000V at 24uA 61391Vhrs
15:50 -> 8000V at 24uA 61454Vhrs
15:54 -> 8000V at 24uA 62054Vhrs
15:55 -> 8000V at 24uA 62120Vhrs
15:59 -> 8000V at 25uA 62719Vhrs
16:00 -> 8000V at 25uA 62786Vhrs
16:04 -> 8000V at 25uA 63381Vhrs
16:05 -> 8000V at 25uA 63452Vhrs
16:09 -> 8000V at 26uA 64046Vhrs
16:10 -> 8000V at 25uA 64118Vhrs
16:14 -> 8000V at 25uA 64709Vhrs
16:15 -> 8000V at 25uA 64784Vhrs
16:19 -> 8000V at 25uA 65372Vhrs
16:20 -> 8000V at 25uA 65450Vhrs
16:24 -> 8000V at 24uA 66038Vhrs
16:25 -> 8000V at 25uA 66118Vhrs
16:29 -> 8000V at 25uA 66704Vhrs
16:30 -> 8000V at 25uA 66787Vhrs
16:34 -> 8000V at 25uA 67370Vhrs
16:35 -> 8000V at 26uA 67455Vhrs
16:39 -> 8000V at 25uA 68035Vhrs
16:40 -> 8000V at 25uA 68124Vhrs
16:44 -> 8000V at 25uA 68701Vhrs
16:45 -> 8000V at 25uA 68792Vhrs
16:49 -> 8000V at 24uA 69367Vhrs
16:50 -> 8000V at 24uA 69460Vhrs
16:54 -> 8000V at 24uA 70034Vhrs
16:55 -> 8000V at 24uA 70129Vhrs
16:59 -> 8000V at 23uA 70700Vhrs
17:00 -> 8000V at 23uA 70797Vhrs
17:04 -> 8000V at 22uA 71366Vhrs
17:05 -> 8000V at 22uA 71466Vhrs
17:09 -> 8000V at 22uA 72031Vhrs
17:10 -> 8000V at 22uA 72134Vhrs
17:14 -> 8000V at 21uA 72698Vhrs
17:15 -> 8000V at 21uA 72802Vhrs
17:19 -> 8000V at 20uA 73363Vhrs
17:20 -> 8000V at 20uA 73470Vhrs
17:24 -> 8000V at 19uA 74029Vhrs
17:25 -> 8000V at 19uA 74139Vhrs
17:29 -> 8000V at 18uA 74694Vhrs
17:30 -> 8000V at 18uA 74808Vhrs
17:34 -> 8000V at 18uA 75361Vhrs
17:35 -> 8000V at 18uA 75475Vhrs
17:39 -> 8000V at 18uA 76027Vhrs
17:40 -> 8000V at 18uA 76144Vhrs
17:44 -> 8000V at 18uA 76692Vhrs
17:45 -> 8000V at 18uA 76813Vhrs
17:49 -> 8000V at 17uA 77359Vhrs
17:50 -> 8000V at 17uA 77481Vhrs
17:54 -> 8000V at 17uA 78025Vhrs
17:55 -> 8000V at 17uA 78150Vhrs
17:59 -> 8000V at 17uA 78691Vhrs
18:00 -> 8000V at 17uA 78817Vhrs
18:04 -> 8000V at 17uA 79356Vhrs
18:05 -> 8000V at 17uA 79486Vhrs
18:09 -> 8000V at 17uA 80022Vhrs
18:10 -> 8000V at 18uA 80155Vhrs
18:14 -> 8000V at 17uA 80688Vhrs
18:15 -> 8000V at 17uA 80823Vhrs
18:19 -> 8000V at 17uA 81354Vhrs
18:20 -> 8000V at 17uA 81491Vhrs
18:24 -> 8000V at 17uA 82021Vhrs
18:25 -> 8000V at 17uA 82160Vhrs
18:29 -> 8000V at 17uA 82686Vhrs
18:30 -> 8000V at 17uA 82828Vhrs
18:34 -> 8000V at 17uA 83352Vhrs
18:35 -> 8000V at 18uA 83497Vhrs
18:39 -> 8000V at 17uA 84018Vhrs
18:40 -> 8000V at 17uA 84165Vhrs
18:44 -> 8000V at 18uA 84684Vhrs
18:45 -> 8000V at 17uA 84834Vhrs
18:49 -> 8000V at 18uA 85350Vhrs
18:50 -> 8000V at 18uA 85501Vhrs
18:53 -> 8000V at 18uA 86016Vhrs
18:55 -> 8000V at 18uA 86170Vhrs
18:58 -> 8000V at 18uA 86681Vhrs
19:00 -> 8000V at 18uA 86839Vhrs
19:03 -> 8000V at 18uA 87347Vhrs
19:05 -> 8000V at 18uA 87507Vhrs
19:08 -> 8000V at 18uA 88013Vhrs
19:10 -> 8000V at 18uA 88175Vhrs
19:13 -> 8000V at 18uA 88679Vhrs
19:15 -> 8000V at 18uA 88844Vhrs
19:18 -> 8000V at 18uA 89345Vhrs
19:20 -> 8000V at 18uA 89512Vhrs
19:23 -> 8000V at 18uA 90011Vhrs
19:25 -> 8000V at 18uA 90180Vhrs
19:28 -> 8000V at 18uA 90677Vhrs
19:30 -> 8000V at 18uA 90849Vhrs
19:33 -> 8000V at 18uA 91343Vhrs
19:35 -> 8000V at 18uA 91518Vhrs
19:38 -> 8000V at 18uA 92008Vhrs
19:40 -> 8000V at 18uA 92185Vhrs
